author,body,datalegacylang
LydiaTerf636,@ZackPolanski #FuckYou\‚ Dave    This is on you. This is what you are creating. You are a disgusting cretin     You are a stain on our society. YOU and your lunatic party are creating this hostility with your mohammedan mates     #FuckYouDave   #MassDeportationsNow,en
MonicaB927,I think @GovPritzker forgot that the majority of people voted for @POTUS &amp; #MassDeportationsNow.  @BrandonStraka @RealWalkAway @ICEgov @DHSgov @RealTomHoman,en
MonicaB927,He can move back.    Imagine going to another country &amp; saying this.  #MassDeportationsNow @SecRubio @DHSgov @ICEgov,en
WhiteCanada22,Five nons have been charged for stealing $2 million worth of cannabis products.  They also had illegal handguns.    These people are a plague on this country\‚ and it will be that way until we decide it isn\'t.  The mass deportations cannot come soon enough.    #MassDeportationsNow https://t.co/dHAVDyBwAQ,en
DreamingDavey,All these Africans jheets Islam all fresh off the boat I see every day even in the smallest of area! #51stStates #MassDeportationsNow send them ALL BACK! Immigrants don’t belong here! 🖕🏼 https://t.co/v2A1qgHCbT,en
DolceCucina3,@GovNedLamont You did this by putting illegals OVER AMERICANS #MassDeportationsNow @GovNedLamont #TRAITOR https://t.co/7mKzAcyaNZ,en
WhiteCanada22,Non stabs a 16 year old to death in Windsor\‚ Ontario.  This is what the Anti-White system has brought us.  #MassDeportationsNow https://t.co/hCTZMYkubk,en
ScouserBlue94,Trump\'s speech on the UK absolutely destroyed king Abdul\'s it was all about our history and our heritage none of this diversity nonsense that king Abdul keeps going on about #DiversityIsOurWeakness #MassDeportationsNOW,en
ChadOrom,@valdombre Nobody cares!  Fuck off to back to whatever garbage pile you crawled out from under #MassDeportationsNow #Remigration #BrownFatigue,en
DreamingDavey,Be as racist as fucking possible and don’t listen to any woke leftist DEI agent or cooperate retard billionaires telling you any different! 🖕🏼 #MassDeportationsNow #FuckChina #FuckIndia #FuckAfrica #FuckIslam everyone get tf out of my country that isn’t white and English! 🖕🏼🖕🏼✊🏼 https://t.co/z3LZhDQ1gK,en
DreamingDavey,@RepJerryNadler Maybe all these foreign fucking reps need to be deported asap! #MassDeportationsNow 🇺🇸 has some house cleanin to do! 🖕🏼 https://t.co/kgkfZRNdxl,en
DreamingDavey,@KayabagaArielle Canadas strongest enemy. It’s immigrants and it’s govt 🖕🏼🇨🇦 DEI = DIE! #MassDeportationsNow #FuckAllCADGovt 🖕🏼🇨🇦 #51stStates https://t.co/hQ5AZVnqgs,en
MonicaB927,@GavinNewsom @CAgovernor will never be president #MassDeportationsNow,en
MonicaB927,@SecScottBessent de bank them all.  #MassDeportationsNow @ICEgov @DHSgov @RealTomHoman @SecMullinDHS,en
DolceCucina3,@WhiteHouse Glad you’re safe but when does the ‘America First’ presidency begin? Only 1 item accomplished on this list thus far with millions more deportations needed #MassDeportationsNow #ENDOPT #ENDH4 https://t.co/7hfkQZNj2g,en
DolceCucina3,@vid_gupta @CyberGreen07 I’d like all !ndians AND   muslims to be deported from Europe&amp;America so that ONLY Whites remain as created.  Thank you for your attention to this matter! #MassDeportationsNow https://t.co/smZPHHziCy,en
KentuckyW0man,@CortesSteve @NateMorris Im still waiting for the other part of the Campaign Promise of #MassDeportationsNow.,en
SandMan99588,To The Main @realDonaldTrump \‚  Keep ROCKING 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸  #FAFO   #MAGA2026   #MassDeportationsNow #DemocratsAreCriminals https://t.co/hokHm14F4V,en
MonicaB927,The majority of the country voted for @POTUS for #MassDeportationsNow,en
WhiteCanada22,@narindertweets I have great news for you.  Those amazing people are going to get to brighten up much more than Britain.  They\'ll get to improve their own homelands with those great attitudes when they are sent back.  Isn\'t that wonderful?  #MassDeportationsNow,en
MonicaB927,💯 some people aren’t compatible with the west.  Good thing there are plenty of other countries for them.  #MassDeportationsNow,en
MonicaB927,Sickening @SecRubio @DNIGabbard @DHSgov @ICEgov @RealTomHoman @SecMullinDHS #MassDeportationsNow @stephenasmith @billmaher @JillianMichaels @elonmusk,en
MonicaB927,When will @BarackObama @JoeBiden @KamalaHarris @AliMayorkas be held accountable for what they allowed to happen.   #MassDeportationsNow no more immigration for a decade til our citizens get a shot of their American dream @BrandonStraka @RealWalkAway,en
ann84761464,@bettybloodclot Ask Jocelyne Gagne the judge who granted his deportation to stop 🛑   You have to ask yourself: who’s side are you on   #massdeportationsnow 🇨🇦,en
MonicaB927,@RepMariaSalazar @RepMikeLawler #MassDeportationsNow @JoeBiden @BarackObama @KamalaHarris @AliMayorkas are responsible for this.,en
ann84761464,@valdombre Sounds like a them problem not a #canada problem   #massdeportationsnow   🇨🇦🇨🇦🇨🇦,en
