author,body,datalegacylang
Rosenrot2026,@True8bebe4 @PETA\n@HSIGlobal\n@fourpawsint\n@AnimalsAsia\n@amnesty\n@hrw\n@whyyoutouzhele\n#BoycottChina\n#BoycottChineseProducts\n#BoycottMadeInChina\n#StopAnimalCruelty\n#StopAnimalCrueltyChina,qme
Rosenrot2026,@Samesamaalways #BoycottChina\n#BoycottChineseProducts\n#BoycottMadeInChina\n#StopAnimalCruelty\n#StopAnimalCrueltyChina\n@PETA\n@HSIGlobal\n@fourpawsint\n@AnimalsAsia\n@amnesty\n@hrw\n@whyyoutouzhele,qme
cressidatrolius,WTF #boycottChina,und
JonestownNorth,@Samesamaalways #BoycottChina,qme
Nebos40356482,@animals_cn #BoycottChina,qme
eAnKt8fTsTThYG3,@animals_cn #boycottchina https://t.co/WnahMenKYf,qme
eAnKt8fTsTThYG3,@Frenchcancan19 #boycottchina https://t.co/2ugJqdJYiZ,qme
AndrewS78169455,This is why we must #BoycottChina .\nNo excuse.,en
AndrewS78169455,This is why we must #BoycottChina .\nNo excuse.,en
JuanyManuela1,#BoycottChina,qht
JuanyManuela1,@NamiKim_DogsSK @WeAreNotFood #BoycottChina,qme
JuanyManuela1,#BoycottChina,qht
JuanyManuela1,@NamiKim_DogsSK @WeAreNotFood #BoycottChina,qme
JuanyManuela1,@Samesamaalways #BoycottChina,qme
QAyine,@Samesamaalways #BoycottChina I hate this hell and their demons,en
Marcemgffvg,"A country where animal cruelty is applauded and supported, while citizens who protest against cruelty are treated as criminals. Is that the policy of the Chinese government? They talk about wanting friendship with our countries, while they promote cruelty #BoycottChina #Sociedad",en
Kangarooei,"@jetaime244 Not just dogs, China has no animal welfare laws, they eat nearly every species and are cruel to animals. They love to torture animals and #BoycottChina.",en
NamiKim_DogsSK,"""Our support against the heinous #DogMeatTrade in #China\n\nSharing from .@WeAreNotFood\n\n➡️https://t.co/HWtXwd4YE2\n\n❗#BOYCOTTCHINA UNTIL IT PUTS AN END TO THIS HELL❗\n\n\""Cruel activities in southern China \nThis is what the volunteers say \nVolunteers discovered and reported a dog https://t.co/PDYbybxmdf""",en
Kangarooei,Un evolved disgusting country. #BoycottChina. 🤬😡🤬😡☠️,en
alexsitou,@LaTwitchance #BoycottChina,qme
IrisMay8552,@HgPZKypleR61580 @kurotamami @oZvcXoRBxXimfRc #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
IrisMay8552,@HgPZKypleR61580 @77OTRC @kurotamami @oZvcXoRBxXimfRc #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
IrisMay8552,@HgPZKypleR61580 @oZvcXoRBxXimfRc @kurotamami #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
eAnKt8fTsTThYG3,@walesvalleys #boycottchina https://t.co/nd7eIMi6tc,qme
