author,body,datalegacylang
IrisMay8552,@HgPZKypleR61580 @77OTRC @kurotamami @oZvcXoRBxXimfRc #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
IrisMay8552,@HgPZKypleR61580 @oZvcXoRBxXimfRc @kurotamami #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
Kangarooei,Disgusting Country #BoycottChina,en
No_More_China,We let these people migrate to Australia and buy our properties. #BoycottChina,en
No_More_China,So sustainable. \n#BoycottChina,en
tisdaleorwhat,"China has:\nNO animal protection laws\nNO real ban on smoking (even where regulations exist, they’re just on paper and never enforced)\n\nThese are two key markers of a civilized society, and China lacks both.\n\n#boycottchina #chinaanimalabuse",en
Shambhalawot1,#CommunismKills\n#BoycottChina\nThis is exactly what happens when the only value a Communist system gives people is to serve as cogs to serve the machine.,en
yadavnarender85,"@Kangarooei #BoycottIndia. What a terrible thing to do, the unevolved brutes need extermination!!! This is heartbreaking 💔. As bad as #BoycottChina as well. 😡🤬☠️💔😢",en
AlexS_2902,@brahma_4u Chinese thieves! #BoycottChina,en
Kangarooei,"Could it be they are unevolved. Look at the way they treat animals, cruel and disgusting, 😡🤬Boycott India #BoycottChina 😡🤬",en
wh0isbanshee,"@LisaJones37798 @chinascio @MFA_China @mfa_russia @MoveTheWorld @HuXijin_GT @SpoxCHN_MaoNing @BBCBreaking @10DowningStreet @PhaedraXTeddy @XHNews @TopuzzoC @UN DO SOMETHING, CHINA!\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en
Wangli720985,"Gansu &amp; Sichuan temples under CCP boot: Shi Taifeng enforces Sinicization, turning sacred Buddhist sites into party propaganda hubs. This is assimilation by force. #EndChinaGenocide #FreeTibetans #BoycottChina\nhttps://t.co/RaLetP7G42 https://t.co/CitzQlvL6A",en
tisdaleorwhat,The official article seeking public opinions was taken down/deleted on April 23rd for unknown reason. The legislation isn't as promising as everyone thought. Keep #boycottchina,en
No_More_China,"China will lie, cheat and deceive at every possible opportunity. It is a culture built on greed and making money by cheating others. Why do we still allow thousands of Chinese nationals to buy their way in to our country? #StopImmigration #BoycottChina",en
hanyscatfella,@branaf0 @NyisztorLivia Xiiiiit. \n\nAaaanyways.\n#BoycottChina,en
bl0nkie,#中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
