author,body,datalegacylang
Divaneh666,@metpoliceuk @JohnWight1 I think he should have been shot in the head. \nHe could have had a bomb on him.\n#IslamSpreadsViolence\n#banIslam,en
FullMtlPatriot,Send them ALL back where they came from. #BanIslam #DeportThemALL,en
Divaneh666,@RealDonKeith The same thing will happen in the UK.\n#banIslam,en
FullMtlPatriot,This is why we shouldn’t allow ANY of these barbarians into our country.  #BanIslam #DeportThemALL,en
UranusHasRings,@TRobinsonNewEra @modem_peddlar I’d love to have been the policeman kicking him in the face 👌\n\n#BanIslam,en
Divaneh666,@TRobinsonNewEra @SaeedDarwin Cherry picking.\nThis is practiced in all Islamic sects.\n#banIslam\n#closeMosques,en
Divaneh666,@TRobinsonNewEra Islam has to be banned.\nIt’s not a religion. It’s a death cult.\n#banIslam\n#IslamSpreadsViolence,en
PapaToThem,@RadioGenoa Do they send Muslim schoolchildren to Christian churches to learn about Christianity?  #banIslam #banSharia #banhalal  your government is the enemy in the UK.,en
cryttyr,Believe them when they tell you. #BanIslam,en
mac_na_Alba,@ImMeme0 This is disgusting.  #BanIslam and deport all of its followers.,en
pmvonhaan,"I don't think that the Aussie SAS guys are in the middle east to evacuate embassy staff. They are there, by order of AkbarAlbo, to extract ISIS brides. @DrewPavlou @OzraeliAvi #banislam",en
pmvonhaan,"""@cyberpunkdingo They are terrorists pure and simple. If a slave or a sex slave was in the household then these \""brides\"" would've fully supported it. Ban Islam. #banislam""",en
aderatron,"Islam is a devilish cult, religion of cowards, cult of godless human and sex traffickers. #BanIslam #RejectIslam #JesusSaves",en
FullMtlPatriot,@realMaalouf This is EXACTLY why they should ALL be deported and their hateful system of conquest and oppression must be banned from ALL western nations. #BanIslam #DeportThemALL,en
FullMtlPatriot,This is EXACTLY why they should ALL be deported and their hateful system of conquest and oppression must be banned from ALL western nations. #BanIslam #DeportThemALL,en
cryttyr,"Intersectionality for thee, not for me. #BanIslam #Collapse #CollapseUK",en
GarbhGyani,"@mariakhan_11 Yeh wala zyada dangerous hai...educated k2was are cold blooded monsters...Everywhere in the world be it dr, engibwer, architect, accountant or a ceo all just have one goal ie of jannat and 72 butts.Even science, technology and education could nit straighten this dograil #banislam",en
LaurelBarboza,#GLOBALJIHAD\nSo it is written.\nSo it shall be done.\n#BanIslam\nIt can be done.,en
DoIt1745,@AmyMek Enemy invaders. \n\n#BanIslam 🚫,en
PapaToThem,@RadioGenoa Islam is darkness and death. #banIslam #bansharia #banHalal,en
UranusHasRings,@Robbie_Reasons @RalphWOlly Mosques should be banned.\n\n#RazeTheMosques  #BanIslam,en
HX1MAN,"‘In the name of Jesus, get in the car’: UK Christian pastor arrested for criticizing Islam - COMING TO THE U.S. UNLESS WE REPLACE THE COWARDS IN BOTH PARTIES IN CONGRESS.  #banIslam  https://t.co/AkLP7T6kAx",en
FullMtlPatriot,"Send them back with they belong. These people refuse to assimilate, and their beliefs are incompatible with ours. #BanIslam #DeportThemALL",en
FullMtlPatriot,Stop allowing these savages into our country. #BanIslam #DeportThemALL,en
cryttyr,Believe them when they tell you. #BanIslam,en
graham0324,Terrifying stats here..#banislam #deportmuslims #outlawsharia\n\nOf American Muslims:\n- 50% support banning depictions of Muhammad\n- 46% support the formation of a Muslim political party\n- 39% support implementing Sharia law in America\n\nIslam and the West are not compatible.,en
UranusHasRings,"These stories are happening almost every single day.  And in 99% of cases, the perpetrator is #MuslimVermin \n\n#BanIslam #DeportMuslims 👇",en
BigToePolitics,Wake up @YourAlberta @Alberta_UCP @UCPCaucus @BrianJeanAB @demetriosnAB \nIslam is not compassionate with western society.  \n#Banislam #StopIslam #ableg #abpoli,en
cryttyr,@SilentBriefHQ Then we imported all their fighters to come and do the Islam in western civilisation. #BanIslam,en
cryttyr,@Pseudo_Prophet_ Just another day living in the Transvestite Jihad on Planet Psychopath. #BanIslam,en
FullMtlPatriot,Send every last one of these inbred savages back to the Muslim majority hellholes they came from. #BanIslam #DeportThemALL,en
savethewest25,Islam is a cancer to western civilization and always has been\n #islam #islamisevil #BanIslam,en
IamJustJulie,This is their sincere plan. Believe them. #IslamIsEvil #BanIslam,en
PuzzledEmphasis,Islam is an INSULT to Iran. Islam is in NO WAY compatible with Iranian culture. We are NOT muslims. Calling an Iranian a muslim is like calling a Jew a German Nazi! #BanIslam,en
cryttyr,This is the bloodthirsty mindset of those who support #FreePalestine. They support Muslims murdering non-muslims. #BanIslam,en
danielobjetivo,@diegomuguetrj DISGUSTING!!! #BANISLAM,en
cryttyr,@miriamcosic It's because of all the underage terrorism. #BanIslam,en
cryttyr,@Rojava0366 @realMaalouf @AliserDersimi Lies. #BanIslam,en
cryttyr,Believe them when they tell you. #BanIslam,en
cryttyr,Believe them when they tell you.#BanIslam,en
scottglock,@liz_churchill10 In Islam the Infidel is seen as a target. Infidel women are to be raped and held as sex slaves. #BanIslam,en
CIRCA2025,@StateDept @realDonaldTrump is fighting terrorist abroad when #America has been I vaded by them!! #Banislam it's not a religion but a evil organization that rapes young girls by forced marriage at 9 years old. Beats women etc etc,en
SilverFoxInOz,#BanIslam BanferalBlacks https://t.co/f0YXtd1jsc,en
JohnnyBgood2025,"#BanIslam, it is a rape cult.",en
cryttyr,They're the same everywhere they go. Believe them when they rape kids. #BanIslam,en
RobDoubleGooner,@DavidVance @GoodwinSuzy Sickening.\n\n#IslamIsTheProblem\n#BanIslam,en
SuziBKota,"@DefiyantlyFree @LarryTaunton Islam is Epstein Island every day, across 56 countries. #BanIslam",en
ArtmisIII,I envision a day when Islam is accorded the same legal status as murder and rape under state law. Whether I live to see it is irrelevant; what matters is that it will come.\n#BanIslam\n#IslamIsTerroristCult,en
EHz365,This is the kind of heinous monsters Islam produces. May the Lord come to the aid of Nigerian Christians. God Forbid the USA ever fall under the control of Islam. #BanIslam #BanShariaLaw,en
BernardCastle85,@Afghan609 It might be too late but we owe it to our ancestors and to our children to at least try :- #BanIslam https://t.co/WbVyhjyHOH,en
HoosierAmerica,#banislam before its too late,en
CivitasNostra,"@golbarg_teh European cities are clean, it is from muslim shi###oles pakistan! \n\n#banislam",en
GarethDavies007,Visiting Maldon Essex today and good news\n\nAt long last the council have taken action against The Raj “Indian” Restaurant (usually owned/run by Pakistanis or Bangladeshis)\n\n#BanIslam https://t.co/mE0naXPVe7,en
