author,body
GoLionsTigers,Educational freedom is key to a thriving society. Let parents choose what's best for their kids not the government.\n\nWe need options and real choices. \n\n#ParentsRights #EducationalFreedom
AnitaMorga6224,"https://t.co/BuyGWuJ7mp Get these Pedos out of office. \n\n#SenatorJamiePedersen said if little girls as young as 8 who can menstruate, her parents have no right to be involved in her s*xual decisions. #SenVictoriaHunt agrees. #ParentsRights. \n\nThey poison the food with hormones"
CoservativeSeth,A growing number of mothers are running for school boards and state offices. They want a say in their child's education and the right to opt out of curriculum if they choose. #ParentsRights #EducationMatters https://t.co/PkeVPjZe84
GoLionsTigers,Educational freedom is about parents choosing what’s best for their kids not bureaucrats deciding their future  \n\nLet’s keep schools accountable not controlled!  \n\n#EdFreedom #ParentsRights
patriots_wa,"La Center, Kennewick, Tumwater all schools that have pushed back against OSPI bully tactics. Good for them! 👏 #ParentsRights #PublicSchools #ProFamily https://t.co/RqQnWgyh4w"
Julie4TX,I stand with @POTUS &amp; Gov. @GregAbbott_TX that Parents know what is best for their child. Greta Alexander has Texas grit and she never gave up. 🇺🇲🦅 #ParentsRights
Saltytattoomom,"I pulled Plano ISD’s own TEA discipline report.\n82 pages. One year.\n3,000+ incidents — felonies, threats, assaults, drugs, sex offenses — plus 2,100 “code of conduct” cases parents are never told about.\n\nThese are their numbers. Not mine.\n\n#PlanoISD #SchoolSafety #ParentsRights https://t.co/im2783vznf"
GOPWarrenCounty,Great article. We need strong willed Republicans that are willing to run for school board. Contact us at https://t.co/4BGXZnNA4U get involved! #parentsrights #schoolchoice #BacktoBasics
Aayang__R888,"Trump's DOE slashing public school funds for 'woke' programs—CRT gone, but at what cost to our kids? Indoctrination or real reform? Who's winning this culture war? #Education #ParentsRights https://t.co/TUCQQhRx1H"
Deepak_sarinji,"“शब्द मेरी पहचान हैं, और संघर्ष मेरी यात्रा।\n\nएक Poet, Author और Founder – PAPA NGO (80G) के रूप में\nमैं अभिभावकों की आवाज़ और विद्यार्थियों के अधिकार की लड़ाई लड़ता हूँ।\n\nसच, समाज और संवेदना है– इन्हीं पर मेरा लेखन आधारित है।\n\n#Poet #Author #ParentsRights #RTE #EducationReform”"
DamonGaldoNJ,"Parents deserve to know what's happening with their kids. In New Jersey, schools can keep gender transitions secret, and lawmakers want 14-year-olds to get mental health counseling without parental consent. #ParentsRights #NJPolitics https://t.co/2keSrYmPTM"
grammasu52,"#Maher: #BlueStates Are Intruding on #ParentsRights on #TransIssues, Not #RedStates  https://t.co/PJ5BaZcQON via @BreitbartNews"
basilpuglisi,"The anti-parent rights by @Optum is disgusting, the corporate barriers to medical records is criminal #parentsrights #parentalconsentmatters"
AshevilleFirst,"🚨 BCS will NOT tell you if your child is rooming overnight with a student of the opposite sex—only names, not biological sex. Doesn’t this violate the NC Parents’ Bill of Rights?\n\nCall. Email. Show up. Next Board meeting is June 5, 5:30 PM at 175 Bingham Rd. #ParentsRights"
Julie4TX,I have testified on this for years. YOUR tax $$ paid for request to use The Patriot Act against Parents. YOUR tax $$ used to lobby for Biden's illegal Title IX expansion. @GregAbbott_TX please call a special to end tax-payer funded lobbying.🇺🇸🦅 #ParentsRights\n@mayes_middleton https://t.co/gQKJhP7lrj
Julie4TX,Great win for Parents! Schools have to notify Parents &amp; and give opt-out on LGBTQ lessons/books. 🇺🇸🦅 #SCOTUS #ParentsRights
PamFarrel,#ParentsRights Restored | Capitol Quagmire https://t.co/W6bNk4awZ5
PeteMoring,"Bridget Phillipson, Have You Been On Mumsnet?! Parents Aren’t Happy…🤨 \n.\nAnd NOR! Should They Be! 😠\n#Parents are losing #ParentsRights\nOver Their OWN #Children's #Education 😡\n.\n#SocialWarfare?? .. https://t.co/pCfpGD0auz 😈\n.\nhttps://t.co/LnPkLQCvoR @AnaBoulterTV #ReadiBay"
Pints_politics,"Parents' rights matter! 🗣️ From medical decisions to education, this bill emphasizes their fundamental role in guiding their child's future, while safeguarding against abuse. #ParentsRights #ChildProtection #FamilyFirst #PintsandPolitics https://t.co/DuDl5DNEUo"
GatewayHispanic,🚨 Netflix Show Sparks Outrage for Introducing Transgender Themes in Children’s Content\n\n🚨 Serie infantil de Netflix genera polémica por introducir temas transgénero en su contenido\n\n#Netflix #ChildrensContent #ParentsRights #LGBTQDebate #CulturalControversy #ProtectChildren https://t.co/Rj5PHqYa5d
jackwindsor,The Ohio School Psychologists Association (OSPA) opposes a bill that prohibits mental health services to minors without parental consent. OSPA is still of the mindset that school counselors and other adults know better than parents. #Ohio #News #ParentsRights
IAmSophiaNelson,"They are trotting out the #ParentsRights platform again. It will be fascinating to see if it has the same force as it did in 2021. I am 100% for parents rights. However, the Congress, states and localities set education policy and control. We need to find a better way forward!"
GatewayHispanic,"🏫 Rep. Mikie Sherrill Pushes LGBTQ Curriculum, Denies Parents Opt-Out Rights\n\n🏫 La congresista Mikie Sherrill impulsa currículo LGBTQ y niega a los padres el derecho a excluir a sus hijos\n\n#MikieSherrill #ParentsRights #Education #LGBTQAgenda #Indoctrination #FamilyValues"
ulizalinks,"Parents vs Litein Boys’! 🏫💸 Is KSh 49,699 levy fair or unfair? ⚖️\n #LiteinBoys #SchoolFees #ParentsRights #EducationJustice #KCSE2025 #KenyaSchools #UrgentPetition #FairnessMatters #EducationDebate https://t.co/Bd0VGKd782"
1RabbitInMyFlBd,#ParentsRights #EducationNotIndoctrination #GetBelongToOutOfSchools
AynRiedel98,Huge victory for #ParentsRights
ChristianPost,"California will pay $4.5M after losing a parental secrecy law case, raising urgent questions about parents’ rights in schools.\n#ParentsRights #California #Education #ReligiousFreedom #ChristianNews\n🔗 https://t.co/3hJtl4qb4T https://t.co/qHzZ17w995"
Julie4TX,Time for restoration for American Parents who were persecuted by the weaponization of Biden's Department of In-Justice.🇺🇸🦅 @EagleEdMartin @HarmeetKDhillon @AGPamBondi @POTUS @SherronnaBisho1 #ParentsRights
NewsFromCCT,"""ICYMI: \""Let's Go Washington\"" is pushing for parents to have a say in education and for equal opportunities for girls in sports. https://t.co/RvX1hwsno9 #ParentsRights #GirlsInSports #WashingtonInitiatives"""
CCHR_Florida,"""#ADHD #mentalhealth #parentsrights No Medical Tests Exist to Confirm Any Child Has a Mental \""Disorder\"" REQUIRING MIND-ALTERING DRUGS Learn the truth at:  https://t.co/RrU59PKbH2 https://t.co/tpdTgqUIqC"""
CCHR_Florida,"""#ADHD #mentalhealth #parentsrights Using the checklist for \""ADHD"
CCHR_Florida,"#ADHD #mentalhealth #parentsrights “There are no objective tests in psychiatry-no X-ray, laboratory, or exam finding that says definitively that someone does or does not have a mental disorder.” — Allen Frances, Psychiatrist and former DSM-IV Task Force Chairman. Learn the truth https://t.co/8Vn23FXzZr"
deepgreendesign,"Should parents be allowed to deny their children vaccines that help protect our neurological heath?\n\nJAMA Today: Among adults w #COVlD19 related changes in smell &amp; taste, 23% experience severe or total loss. \n\nhttps://t.co/GwMJntDmcv\n\n#ParentsRights #CdnPoli #HumanRights #ABLeg"
StrictSpeaking,This was never just about abortion.\n\nThis is about teachers being pushed to lie and parents being pushed out.\n\nWatch the clip. Full breakdown on the show.\n\nParents' rights are the issue.\n#parentsrights #parentalconsent #ohiopolitics #familyrights #supremecourt https://t.co/Wjn59rljUT
MontyFritts4TN,Denise and I traveled to Nashville today. We picked up my petition to get on the ballot as a candidate for Governor in TN. I need your signature if you are a Liberty &amp; Less Govt supporter. #\nlowertaxes #gunrights #parentsrights #maha #medicalfreedom #frittsforgovernor https://t.co/kr580HCcq2
Stuckelberger,"Great move to block the moral &amp; Educational abuse in schools worldwide, such normalizing the unthinkable: prepuberty rights to change sex as well as #transgender + sexualization propaganda on children in schools in the name of “equality” without parents consent. #ParentsRights https://t.co/ORP4A9bnxR"
NewsFromCCT,Nancy Churchill warns of a “Children’s Medical Industrial Complex” exploiting kids and stripping parental rights. She calls for support of initiatives due Dec. 30. https://t.co/UL2X3HC0I4 #Opinion #ParentsRights #WashingtonState https://t.co/Pvyh4GYBcx
JoanneLeeJacobs,"""Whose child? Your child. California's don't-tell-Mamma policy on gender is likely to \""violate parents’ rights to direct the upbringing and education of their children"
BigJMcC,#BookBans #ParentsRights #GunControl #ableg #ucp #DanielleSmith https://t.co/osoJoeOqFB
CCHR_Florida,"""Using the checklist for \""ADHD"
NewsFromCCT,"ICYMI: Let’s Go Washington reports over 60,000 signatures on two statewide initiatives — one on parents’ rights and one on girls’ sports — with more than half from Democrats and Independents. https://t.co/O8StQFjBjd #LetsGoWashington #ParentsRights #GirlsSports #WApolitics"
